Actual,Predicted,MSE,MAE,Pseudo_r2
-2.1450459652706844,0.6708205330128344,9.378851865335214,2.290656851562596,-0.14710044845089731
2.0366598778004072,1.1237288426095522,9.378851865335214,2.290656851562596,-0.14710044845089731
-0.3468208092485549,-6.652356511707342e-4,9.378851865335214,2.290656851562596,-0.14710044845089731
0.7118311242022582,0.7752378130941687,9.378851865335214,2.290656851562596,-0.14710044845089731
-2.372393961179008,1.0084953503173284,9.378851865335214,2.290656851562596,-0.14710044845089731
-6.184759916492693,2.164207030190928,9.378851865335214,2.290656851562596,-0.14710044845089731
0.7984031936127743,1.8581353540605183,9.378851865335214,2.290656851562596,-0.14710044845089731
3.6194895591647334,1.784614458055834,9.378851865335214,2.290656851562596,-0.14710044845089731
-3.704606385571533,1.1597548366720998,9.378851865335214,2.290656851562596,-0.14710044845089731
4.835542464408444,1.8865285609665425,9.378851865335214,2.290656851562596,-0.14710044845089731
0.47287899860917937,1.3479942459547396,9.378851865335214,2.290656851562596,-0.14710044845089731
-0.39603960396039606,1.677742153062964,9.378851865335214,2.290656851562596,-0.14710044845089731
3.1347962382445136,1.1462985600166073,9.378851865335214,2.290656851562596,-0.14710044845089731
-1.2655024044545684,1.6122905908334049,9.378851865335214,2.290656851562596,-0.14710044845089731
-2.177476000936549,1.8469409415038271,9.378851865335214,2.290656851562596,-0.14710044845089731
1.495016611295681,1.3529822392608224,9.378851865335214,2.290656851562596,-0.14710044845089731
0.9145129224652087,0.7539312641118318,9.378851865335214,2.290656851562596,-0.14710044845089731
0.21710811984368217,-0.2790730902891758,9.378851865335214,2.290656851562596,-0.14710044845089731
1.9482184055370415,0.36355324190318666,9.378851865335214,2.290656851562596,-0.14710044845089731
3.614169459071326,1.954617370715627,9.378851865335214,2.290656851562596,-0.14710044845089731
-3.491543917075832,2.3537899993673923,9.378851865335214,2.290656851562596,-0.14710044845089731
-2.955082742316785,2.050060357126846,9.378851865335214,2.290656851562596,-0.14710044845089731
-2.166377816291161,0.7062761610337965,9.378851865335214,2.290656851562596,-0.14710044845089731
1.5338194619059593,0.3725075649494285,9.378851865335214,2.290656851562596,-0.14710044845089731
-3.372603372603373,2.298924194330069,9.378851865335214,2.290656851562596,-0.14710044845089731
3.306953080836631,2.074543908406997,9.378851865335214,2.290656851562596,-0.14710044845089731
4.993909866017052,2.1048150130349654,9.378851865335214,2.290656851562596,-0.14710044845089731
3.731178033658104,1.44257896393624,9.378851865335214,2.290656851562596,-0.14710044845089731
0.9162951956414067,2.403106677137009,9.378851865335214,2.290656851562596,-0.14710044845089731
3.3468802295003584,2.3546286493079216,9.378851865335214,2.290656851562596,-0.14710044845089731
-2.024623803009576,1.6346868896302031,9.378851865335214,2.290656851562596,-0.14710044845089731
0.7347254447022429,0.9443472526211614,9.378851865335214,2.290656851562596,-0.14710044845089731
4.696338990287117,2.243448646090601,9.378851865335214,2.290656851562596,-0.14710044845089731
1.3742331288343559,1.776812699724214,9.378851865335214,2.290656851562596,-0.14710044845089731
1.4804533888503355,2.279237566859178,9.378851865335214,2.290656851562596,-0.14710044845089731
0.6422786931024853,1.8847546277343972,9.378851865335214,2.290656851562596,-0.14710044845089731
0.7677543186180422,0.9761012858482834,9.378851865335214,2.290656851562596,-0.14710044845089731
1.0092771944132939,1.5104055789661293,9.378851865335214,2.290656851562596,-0.14710044845089731
-6.318082788671024,1.57598186815822,9.378851865335214,2.290656851562596,-0.14710044845089731
4.536129473444267,2.1830121159836207,9.378851865335214,2.290656851562596,-0.14710044845089731
